Brand,Type,Reg_date,Coe_left,Dep,Mileage,Road Tax,Dereg Value,COE,Engine Cap,Curb Weight,Manufactured,Transmission,OMV,ARF,Power,No. of Owners,Price,Coe_left_days,Coe_left_months,Brand_name
Honda CR-V 2.4A Sunroof,SUV,2017-04-03,5yrs 9mths 27days COE left),11510,79800,1628,56199,53300,2354,1574,2016,Auto,29670,33538,140,1,83800,2122,69.9,Honda
Mercedes-Benz E-Class E200 CGI (COE till 01/2030),Luxury Sedan,2010-01-08,8yrs 7mths 1day COE left),9080,110600,1169,33917,39463,1796,1615,2009,Auto,51194,51194,135,3,78000,3131,103.03333333333333,Mercedes-Benz
Toyota Camry 2.5A,Luxury Sedan,2016-07-14,5yrs 1mth 7days COE left),11850,73000,1792,53860,57010,2494,1475,2016,Auto,29296,33015,133,2,77000,1862,61.233333333333334,Toyota
Honda Fit 1.3A GF (OPC),Hatchback,2020-08-28,9yrs 2mths 21days COE left),6840,7530,78,21436,18710,1317,1030,2019,Auto,15555,5555,73,1,65888,3366,110.7,Honda
BMW 2 Series 216i Gran Tourer,MPV,2017-09-28,6yrs 3mths 21days COE left),12780,61989,684,51260,42902,1499,1480,2017,Auto,28741,32238,75,1,96800,2301,75.7,BMW
Hyundai Elantra 1.6A GLS S,Mid-Sized Sedan,2017-08-10,6yrs 2mths 3days COE left),13340,95000,738,36739,44002,1591,1345,2017,Auto,12739,12739,93,1,88800,2253,74.1,Hyundai
Honda Vezel 1.5A X Honda Sensing,SUV,2019-06-14,8yrs 7days COE left),9450,30000,682,37109,33199,1496,1190,2019,Auto,22826,13957,96,1,82800,2927,96.23333333333333,Honda
Mercedes-Benz C-Class C180K,Luxury Sedan,2012-03-29,9mths 22days COE left),21830,135000,742,19730,56551,1597,1500,2012,Auto,30319,30319,115,3,32800,292,9.733333333333333,Mercedes-Benz
Hyundai Tucson 1.6A GLS DCT Turbo,SUV,2019-06-14,8yrs 7days COE left),11860,21200,738,49319,39728,1591,1594,2019,Auto,22322,23251,130,1,106800,2927,96.23333333333333,Hyundai
Land Rover Range Rover Velar 2.0A Si4 R-Dynamic,SUV,2019-02-28,7yrs 8mths 21days COE left),24480,62000,1210,97287,36667,1997,1983,2018,Auto,67378,93281,184,1,236000,2816,92.7,Land
